交易日,證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
20200107,0050,6328602,4116,607425541,96.45,96.7,95.4,96.1,0.3,96.1,6,96.15,548,0.0
20200107,0051,16583,18,578538,34.99,35.04,34.7,34.72,0.38,34.72,1,34.8,1,0.0
20200107,0052,180844,85,13227546,72.1,79.25,71.0,71.8,0.25,71.6,1,71.8,3,0.0
20200107,0053,13000,11,542220,41.93,41.93,41.45,41.7,0.34,41.45,5,41.7,1,0.0
20200107,0054,5003,5,122402,24.6,24.6,24.36,24.36,0.45,24.35,1,24.46,5,0.0
20200107,0055,57000,25,1079450,18.94,18.96,18.9,18.92,0.01,18.88,51,18.92,35,0.0
20200107,0056,28160121,11758,806477281,28.95,28.96,28.48,28.69,0.27,28.69,41,28.7,145,0.0
20200107,0057,28000,10,1696750,61.2,61.2,60.5,60.55,0.7,60.4,21,60.8,1,0.0
20200107,0061,903274,201,17063512,18.9,18.93,18.85,18.9,0.01,18.89,1,18.9,3,0.0
20200107,006203,0,0,0,,,,,0.0,44.6,3,44.98,7,0.0
20200107,006204,43159,10,2555262,59.45,59.45,59.1,59.2,0.4,59.1,1,59.25,50,0.0
20200107,006205,2722804,302,87284315,32.15,32.2,31.99,32.08,0.11,32.08,94,32.09,53,0.0
20200107,006206,222885,82,7504028,33.7,33.75,33.52,33.66,0.07,33.66,67,33.7,4,0.0
20200107,006207,2068261,341,51115668,24.82,24.82,24.59,24.74,0.03,24.73,15,24.74,50,0.0
20200107,006208,883763,524,46991989,53.5,53.6,52.9,53.25,0.4,53.2,19,53.25,8,0.0
20200107,00625K,50000,2,372000,7.44,7.44,7.44,7.44,0.06,7.33,5,7.49,5,0.0
20200107,00631L,2368060,1007,124051346,53.3,53.35,51.8,52.4,0.75,52.4,137,52.45,3,0.0
20200107,00632R,60680966,6018,612662324,10.01,10.15,10.0,10.09,0.05,10.09,3525,10.1,311,0.0
20200107,00633L,10329301,1613,521982029,50.55,50.95,50.3,50.55,0.1,50.55,119,50.6,26,0.0
20200107,00634R,619000,57,3486130,5.63,5.65,5.61,5.63,0.0,5.62,50,5.63,92,0.0
20200107,00635U,2808379,908,62748240,22.47,22.47,22.28,22.36,0.25,22.36,41,22.37,99,0.0
20200107,00636,1515246,348,33849792,22.33,22.4,22.25,22.35,0.0,22.35,297,22.36,7,0.0
20200107,00636K,100,1,743,7.43,7.43,7.43,7.43,0.06,7.42,11,7.46,11,0.0
20200107,00637L,85787509,5833,1669038490,19.41,19.58,19.36,19.45,0.02,19.45,281,19.46,224,0.0
20200107,00638R,323000,48,3657100,11.32,11.35,11.29,11.32,0.01,11.31,28,11.32,49,0.0
20200107,00639,2169627,383,25060142,11.53,11.58,11.5,11.56,0.02,11.56,301,11.57,18,0.0
20200107,00640L,738000,138,16681760,22.49,22.73,22.49,22.72,0.71,22.72,7,22.73,2,0.0
